Track ID,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode
0AluA5RNsa4Cx6XRhf2hWZ,0.81,0.353,-9.931,0.588,0,0.102,0.31,88.031,6,0
6vN77lE9LK6HP2DewaN6HZ,0.963,0.346,-9.309,0.0355,0,0.108,0.53,119.957,5,0
7d19457woBxmPRCq255YqM,0.75,0.548,-6.288,0.00619,0,0.156,0.358,160.084,9,1
6mapJIPnQ23RTAevUoE0DL,0.681,0.314,-9.319,0.2,9.82e-06,0.1,0.0581,139.992,8,1
5uQOauh47VFt3B2kV9kRXw,0.812,0.621,-8.3,0.244,0,0.099,0.0515,77.998,5,1
5FkoSXiJPKTNyYgALRJFhD,0.83,0.564,-7.822,0.177,0,0.128,0.235,85.042,1,1
6K2anECyrckidwf5wxS78Q,0.769,0.807,-2.966,0.0515,0,0.111,0.306,82.422,11,1
68MTDH8Kk4jBEV1ah0n89s,0.451,0.876,-5.205,0.261,0,0.098,0.414,87.306,10,0
5gZYpjakt37G3c58FKcQwJ,0.581,0.877,-4.938,0.0151,0,0.826,0.114,77.006,8,1
5BbdKBZO0TH0GhfxUfyhL9,0.877,0.517,-5.426,0.217,0,0.143,0.0706,119.996,2,0
5hwUsRKvnO5yThjVrxHQVt,0.884,0.445,-10.58,0.222,0,0.112,0.418,125.008,1,0
3QFInJAm9eyaho5vBzxInN,0.711,0.611,-5.453,0.00588,0,0.23,0.33,134.093,1,1
6JjEVlMkfHWMeYavkEYzNO,0.798,0.568,-9.072,0.0213,0,0.0586,0.135,148.88,5,0
65OVbaJR5O1RmwOQx0875b,0.578,0.449,-6.349,0.0618,2.17e-06,0.119,0.286,136.006,1,1
65OVbaJR5O1RmwOQx0875b,0.578,0.449,-6.349,0.0618,2.17e-06,0.119,0.286,136.006,1,1
78p1rF7xx1snnaKxtUzBHn,0.829,0.343,-4.962,0.00718,0,0.172,0.0982,78.061,0,1
1W24W6jQegnNh0x5DfBBPT,0.676,0.503,-6.115,0.137,6.36e-05,0.0981,0.0971,162.85,8,1
3XOalgusokruzA5ZBA2Qcb,0.773,0.422,-4.572,0.00783,0.00693,0.129,0.187,77.502,1,0
29TPjc8wxfz4XMn21O7VsZ,0.785,0.903,-4.184,0.258,0,0.169,0.21,139.98,2,1
