Track ID,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode
4RG7P0CXQ4pe0OeCAHjX5L,0.504,0.736,-6.079,0.00216,0,0.129,0.0352,148.014,0,1
200x8ONbPfFzByUr3fVz46,0.607,0.912,-3.449,0.124,0,0.332,0.0611,134.944,8,1
200x8ONbPfFzByUr3fVz46,0.607,0.912,-3.449,0.124,0,0.332,0.0611,134.944,8,1
261mlNfSZhoIZSFhRevAkE,0.408,0.306,-8.334,0.901,0,0.114,0.0413,168.066,6,1
261mlNfSZhoIZSFhRevAkE,0.408,0.306,-8.334,0.901,0,0.114,0.0413,168.066,6,1
1wLNEMiUzwvRZz9XHCXhAE,0.596,0.544,-7.039,0.391,3.06e-06,0.129,0.0341,136.728,4,1
1wLNEMiUzwvRZz9XHCXhAE,0.596,0.544,-7.039,0.391,3.06e-06,0.129,0.0341,136.728,4,1
2gJj6WtAxXjApMs3PXsCeX,0.471,0.912,-3.032,0.032,0,0.343,0.0724,139.667,5,1
2gJj6WtAxXjApMs3PXsCeX,0.471,0.912,-3.032,0.032,0,0.343,0.0724,139.667,5,1
2BJy4svtrGACqRB5BFLOK6,0.696,0.583,-6.384,0.629,0,0.123,0.0307,79.057,10,1
6K4336phprB3Mj8qwYxibR,0.557,0.0736,-15.741,0.806,0,0.099,0.0568,155.294,1,1
6K4336phprB3Mj8qwYxibR,0.557,0.0736,-15.741,0.806,0,0.099,0.0568,155.294,1,1
1I9htETbx6XBkh0kyCz5uW,0.516,0.362,-8.689,0.821,0,0.117,0.0296,129.496,5,1
1I9htETbx6XBkh0kyCz5uW,0.516,0.362,-8.689,0.821,0,0.117,0.0296,129.496,5,1
53zCCom4uEoIBaOAEJtjUL,0.434,0.215,-8.478,0.82,0,0.456,0.0417,118.152,10,1
3t5OV1asJHmOlf23T08CLv,0.539,0.16,-13.285,0.881,0.000268,0.105,0.0329,81.446,3,1
